areaCode_x,areaName,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate,Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,Region code_x,% of key workers,% of the economically active population aged 16+ who are unemployed,% of all people aged 16-64 who are employees,% of all people aged 16-64 who are self-employed,Region name,% of households with at least 1 early-years or school age child,Average Deprivation Score 
E06000016,Leicester,113877,999,257322,235874,159763,31.6,"4,830",37.1,6.2,3.5,50.5,2.6,E12000004,31.5,5.5,65.7,8.3,East Midlands,26.5,30.9
E06000024,North Somerset,59195,417,177210,169225,143716,46,575,1.2,0.3,1,97.3,0.2,E12000009,30.1,3.2,68.7,12.2,South West,25.4,15.8
E06000027,Torbay,37501,251,110466,104665,84742,49.1,"2,167",1,0.2,1.1,97.5,0.2,E12000009,31.3,4.5,64,8.6,South West,17.3,28.1
E06000051,Shropshire,84132,733,263908,252361,212262,47.8,101,1,0.2,0.7,98,0.1,E12000005,35.6,2.8,64.4,13.8,West Midlands,20.4,17.2
E06000058,"Bournemouth, Christchurch and Poole",118078,1019,312248,296734,239350,42.7,"2,439",2.9,0.6,1.7,94.2,0.6,E12000009,,3.4,68,10.3,South West,17.2,18.2
E08000017,Doncaster,98771,1063,234163,220200,172969,41.2,549,2.5,0.8,1.1,95.3,0.4,E12000003,35.9,5.5,65,7.9,Yorkshire and The Humber,22.1,30.3
E09000016,Havering,83155,976,185928,175319,130840,39.2,"2,310",4.9,4.8,2.1,87.7,0.6,E12000007,35,5.1,69.4,8.2,London,24.4,16.8
E06000012,North East Lincolnshire,47539,381,119299,112397,86581,42.6,828,1.3,0.3,0.7,97.4,0.3,E12000003,37.5,5.4,66.7,7.9,Yorkshire and The Humber,20.1,31.3
E06000033,Southend-on-Sea,55331,701,134720,126784,97374,41.8,"4,394",3.7,2.1,2.1,91.6,0.5,E12000006,31.4,3.5,64.8,14,East  ,23.9,22.4
E06000045,Southampton,73279,432,184795,170890,127573,32.3,"5,062",8.4,2.1,2.4,85.9,1.1,E12000008,31.3,4.1,64.7,9.2,South East,22.4,26.9
E06000054,Wiltshire,129086,821,421660,402767,337386,44.9,154,1.3,0.7,1.2,96.6,0.2,E12000009,32.7,2.8,64.4,13,South West,19.3,13.4
E08000003,Manchester,181190,1270,388615,352968,234615,30.1,"4,781",17.1,8.6,4.6,66.6,3.1,E12000002,33.4,5.6,59.3,5.7,North West,25.4,40
E08000030,Walsall,86408,1024,205011,191028,137099,38.2,"2,746",15.2,2.4,2.7,78.9,0.8,E12000005,35.8,5.4,63.9,9.3,West Midlands,26.6,31.6
E09000007,Camden,64914,330,178805,161079,116953,34,"12,393",16.1,8.2,5.6,66.3,3.8,E12000007,25.3,4.1,53.8,15.8,London,18.4,20.1
E09000008,Croydon,114455,984,266907,247165,172715,37.7,"4,471",16.4,20.2,6.6,55.1,1.8,E12000007,31.7,5.4,65.3,11.5,London,29.6,22.5
E09000013,Hammersmith and Fulham,58274,299,143017,132424,94769,35,"11,287",9.1,11.8,5.5,68.1,5.5,E12000007,24.5,5.2,62.4,13.8,London,20,22.3
E06000013,North Lincolnshire,47326,386,132016,125132,100600,44.3,204,2.7,0.3,0.7,96,0.2,E12000003,35,4.3,62.5,10,Yorkshire and The Humber,17.9,22.1
E06000025,South Gloucestershire,85895,448,234413,223578,186829,40.6,574,2.5,0.8,1.4,95,0.3,E12000009,31.6,3,72.6,9,South West,20.9,11.7
E06000026,Plymouth,76687,349,209581,197052,150387,38.6,"3,282",1.5,0.7,1.3,96.1,0.4,E12000009,33,4.3,68.2,6.7,South West,19.5,26.6
E06000040,Windsor and Maidenhead,45812,333,122795,117084,94941,42.3,771,9.6,1.2,2.3,86.1,0.8,E12000008,27.3,2.6,67.2,13.1,South East,23.8,8.4
E06000059,Dorset,89246,680,319881,306683,265876,51,152,0.9,0.2,0.8,98,0.1,E12000009,,2.7,61,15,South West,20.7,15.7
