Local Authority,Cumulative Cases,Deaths (cum.),First dose (cum.),Second dose (cum.),Third dose (cum.),Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,% of key workers,Unemployed (%),Employees (%),Self-employed (%),Region name,"Households, 1+ child (%)",Deprivation Score
Croydon,114455.0,984.0,266907.0,247165.0,172715.0,37.7,4471.0,16.4,20.2,6.6,55.1,1.8,31.7,5.4,65.3,11.5,London,29.6,22.5
Croydon,114455.0,984.0,266907.0,247165.0,172715.0,37.7,4471.0,16.4,20.2,6.6,55.1,1.8,31.7,5.4,65.3,11.5,London,29.6,22.5
Croydon,114455.0,984.0,266907.0,247165.0,172715.0,37.7,4471.0,16.4,20.2,6.6,55.1,1.8,31.7,5.4,65.3,11.5,London,29.6,22.5
Croydon,114455.0,984.0,266907.0,247165.0,172715.0,37.7,4471.0,16.4,20.2,6.6,55.1,1.8,31.7,5.4,65.3,11.5,London,29.6,22.5
Hammersmith and Fulham,58274.0,299.0,143017.0,132424.0,94769.0,35.0,11287.0,9.1,11.8,5.5,68.1,5.5,24.5,5.2,62.4,13.8,London,20.0,22.3
Hammersmith and Fulham,58274.0,299.0,143017.0,132424.0,94769.0,35.0,11287.0,9.1,11.8,5.5,68.1,5.5,24.5,5.2,62.4,13.8,London,20.0,22.3
Hammersmith and Fulham,58274.0,299.0,143017.0,132424.0,94769.0,35.0,11287.0,9.1,11.8,5.5,68.1,5.5,24.5,5.2,62.4,13.8,London,20.0,22.3
Hammersmith and Fulham,58274.0,299.0,143017.0,132424.0,94769.0,35.0,11287.0,9.1,11.8,5.5,68.1,5.5,24.5,5.2,62.4,13.8,London,20.0,22.3
North Lincolnshire,47326.0,386.0,132016.0,125132.0,100600.0,44.3,204.0,2.7,0.3,0.7,96.0,0.2,35.0,4.3,62.5,10.0,Yorkshire and The Humber,17.9,22.1
North Lincolnshire,47326.0,386.0,132016.0,125132.0,100600.0,44.3,204.0,2.7,0.3,0.7,96.0,0.2,35.0,4.3,62.5,10.0,Yorkshire and The Humber,17.9,22.1
North Lincolnshire,47326.0,386.0,132016.0,125132.0,100600.0,44.3,204.0,2.7,0.3,0.7,96.0,0.2,35.0,4.3,62.5,10.0,Yorkshire and The Humber,17.9,22.1
North Lincolnshire,47326.0,386.0,132016.0,125132.0,100600.0,44.3,204.0,2.7,0.3,0.7,96.0,0.2,35.0,4.3,62.5,10.0,Yorkshire and The Humber,17.9,22.1
South Gloucestershire,85895.0,448.0,234413.0,223578.0,186829.0,40.6,574.0,2.5,0.8,1.4,95.0,0.3,31.6,3.0,72.6,9.0,South West,20.9,11.7
South Gloucestershire,85895.0,448.0,234413.0,223578.0,186829.0,40.6,574.0,2.5,0.8,1.4,95.0,0.3,31.6,3.0,72.6,9.0,South West,20.9,11.7
South Gloucestershire,85895.0,448.0,234413.0,223578.0,186829.0,40.6,574.0,2.5,0.8,1.4,95.0,0.3,31.6,3.0,72.6,9.0,South West,20.9,11.7
South Gloucestershire,85895.0,448.0,234413.0,223578.0,186829.0,40.6,574.0,2.5,0.8,1.4,95.0,0.3,31.6,3.0,72.6,9.0,South West,20.9,11.7
Plymouth,76687.0,349.0,209581.0,197052.0,150387.0,38.6,3282.0,1.5,0.7,1.3,96.1,0.4,33.0,4.3,68.2,6.7,South West,19.5,26.6
Plymouth,76687.0,349.0,209581.0,197052.0,150387.0,38.6,3282.0,1.5,0.7,1.3,96.1,0.4,33.0,4.3,68.2,6.7,South West,19.5,26.6
Plymouth,76687.0,349.0,209581.0,197052.0,150387.0,38.6,3282.0,1.5,0.7,1.3,96.1,0.4,33.0,4.3,68.2,6.7,South West,19.5,26.6
Plymouth,76687.0,349.0,209581.0,197052.0,150387.0,38.6,3282.0,1.5,0.7,1.3,96.1,0.4,33.0,4.3,68.2,6.7,South West,19.5,26.6
Windsor and Maidenhead,45812.0,333.0,122795.0,117084.0,94941.0,42.3,771.0,9.6,1.2,2.3,86.1,0.8,27.3,2.6,67.2,13.1,South East,23.8,8.4
Windsor and Maidenhead,45812.0,333.0,122795.0,117084.0,94941.0,42.3,771.0,9.6,1.2,2.3,86.1,0.8,27.3,2.6,67.2,13.1,South East,23.8,8.4
Windsor and Maidenhead,45812.0,333.0,122795.0,117084.0,94941.0,42.3,771.0,9.6,1.2,2.3,86.1,0.8,27.3,2.6,67.2,13.1,South East,23.8,8.4
Windsor and Maidenhead,45812.0,333.0,122795.0,117084.0,94941.0,42.3,771.0,9.6,1.2,2.3,86.1,0.8,27.3,2.6,67.2,13.1,South East,23.8,8.4
Salford,89418.0,740.0,188343.0,173471.0,119727.0,34.8,2663.0,4.0,2.8,2.0,90.1,1.1,30.2,4.4,67.2,7.1,North West,21.0,34.2
Salford,89418.0,740.0,188343.0,173471.0,119727.0,34.8,2663.0,4.0,2.8,2.0,90.1,1.1,30.2,4.4,67.2,7.1,North West,21.0,34.2
Salford,89418.0,740.0,188343.0,173471.0,119727.0,34.8,2663.0,4.0,2.8,2.0,90.1,1.1,30.2,4.4,67.2,7.1,North West,21.0,34.2
Salford,89418.0,740.0,188343.0,173471.0,119727.0,34.8,2663.0,4.0,2.8,2.0,90.1,1.1,30.2,4.4,67.2,7.1,North West,21.0,34.2
Sheffield,170848.0,1489.0,428179.0,401133.0,308356.0,35.4,1590.0,8.0,3.6,2.4,83.7,2.2,32.2,4.1,66.1,7.4,Yorkshire and The Humber,22.6,27.1
Sheffield,170848.0,1489.0,428179.0,401133.0,308356.0,35.4,1590.0,8.0,3.6,2.4,83.7,2.2,32.2,4.1,66.1,7.4,Yorkshire and The Humber,22.6,27.1
Sheffield,170848.0,1489.0,428179.0,401133.0,308356.0,35.4,1590.0,8.0,3.6,2.4,83.7,2.2,32.2,4.1,66.1,7.4,Yorkshire and The Humber,22.6,27.1
Sheffield,170848.0,1489.0,428179.0,401133.0,308356.0,35.4,1590.0,8.0,3.6,2.4,83.7,2.2,32.2,4.1,66.1,7.4,Yorkshire and The Humber,22.6,27.1
Dudley,100170.0,964.0,242128.0,228446.0,177804.0,42.0,3283.0,6.1,1.5,1.8,90.0,0.6,31.6,4.7,64.1,8.3,West Midlands,23.7,24.1
Dudley,100170.0,964.0,242128.0,228446.0,177804.0,42.0,3283.0,6.1,1.5,1.8,90.0,0.6,31.6,4.7,64.1,8.3,West Midlands,23.7,24.1
Dudley,100170.0,964.0,242128.0,228446.0,177804.0,42.0,3283.0,6.1,1.5,1.8,90.0,0.6,31.6,4.7,64.1,8.3,West Midlands,23.7,24.1
Dudley,100170.0,964.0,242128.0,228446.0,177804.0,42.0,3283.0,6.1,1.5,1.8,90.0,0.6,31.6,4.7,64.1,8.3,West Midlands,23.7,24.1
Solihull,66455.0,656.0,167888.0,158894.0,128409.0,43.1,1214.0,6.6,1.6,2.1,89.1,0.6,30.8,3.6,67.5,8.0,West Midlands,22.6,17.4
Solihull,66455.0,656.0,167888.0,158894.0,128409.0,43.1,1214.0,6.6,1.6,2.1,89.1,0.6,30.8,3.6,67.5,8.0,West Midlands,22.6,17.4
Solihull,66455.0,656.0,167888.0,158894.0,128409.0,43.1,1214.0,6.6,1.6,2.1,89.1,0.6,30.8,3.6,67.5,8.0,West Midlands,22.6,17.4
Solihull,66455.0,656.0,167888.0,158894.0,128409.0,43.1,1214.0,6.6,1.6,2.1,89.1,0.6,30.8,3.6,67.5,8.0,West Midlands,22.6,17.4
Calderdale,61716.0,448.0,158428.0,149176.0,115596.0,42.2,581.0,8.3,0.4,1.4,89.7,0.2,35.5,3.7,59.7,10.5,Yorkshire and The Humber,22.4,26.4
Calderdale,61716.0,448.0,158428.0,149176.0,115596.0,42.2,581.0,8.3,0.4,1.4,89.7,0.2,35.5,3.7,59.7,10.5,Yorkshire and The Humber,22.4,26.4
Calderdale,61716.0,448.0,158428.0,149176.0,115596.0,42.2,581.0,8.3,0.4,1.4,89.7,0.2,35.5,3.7,59.7,10.5,Yorkshire and The Humber,22.4,26.4
Calderdale,61716.0,448.0,158428.0,149176.0,115596.0,42.2,581.0,8.3,0.4,1.4,89.7,0.2,35.5,3.7,59.7,10.5,Yorkshire and The Humber,22.4,26.4
Lambeth,103173.0,610.0,241350.0,224536.0,164572.0,33.3,12156.0,6.9,25.9,7.6,57.1,2.4,22.6,4.8,64.4,10.8,London,19.8,25.4
Lambeth,103173.0,610.0,241350.0,224536.0,164572.0,33.3,12156.0,6.9,25.9,7.6,57.1,2.4,22.6,4.8,64.4,10.8,London,19.8,25.4
Lambeth,103173.0,610.0,241350.0,224536.0,164572.0,33.3,12156.0,6.9,25.9,7.6,57.1,2.4,22.6,4.8,64.4,10.8,London,19.8,25.4
Lambeth,103173.0,610.0,241350.0,224536.0,164572.0,33.3,12156.0,6.9,25.9,7.6,57.1,2.4,22.6,4.8,64.4,10.8,London,19.8,25.4
"Herefordshire, County of",45421.0,350.0,154466.0,147255.0,123481.0,47.4,88.0,0.8,0.2,0.7,98.2,0.1,36.2,2.2,61.4,16.9,West Midlands,17.5,18.9
"Herefordshire, County of",45421.0,350.0,154466.0,147255.0,123481.0,47.4,88.0,0.8,0.2,0.7,98.2,0.1,36.2,2.2,61.4,16.9,West Midlands,17.5,18.9
"Herefordshire, County of",45421.0,350.0,154466.0,147255.0,123481.0,47.4,88.0,0.8,0.2,0.7,98.2,0.1,36.2,2.2,61.4,16.9,West Midlands,17.5,18.9
"Herefordshire, County of",45421.0,350.0,154466.0,147255.0,123481.0,47.4,88.0,0.8,0.2,0.7,98.2,0.1,36.2,2.2,61.4,16.9,West Midlands,17.5,18.9
Cheshire East,114633.0,1043.0,321392.0,306379.0,256316.0,46.4,329.0,1.6,0.4,1.0,96.7,0.2,33.3,2.8,67.2,9.3,North West,21.2,14.5
Cheshire East,114633.0,1043.0,321392.0,306379.0,256316.0,46.4,329.0,1.6,0.4,1.0,96.7,0.2,33.3,2.8,67.2,9.3,North West,21.2,14.5
Cheshire East,114633.0,1043.0,321392.0,306379.0,256316.0,46.4,329.0,1.6,0.4,1.0,96.7,0.2,33.3,2.8,67.2,9.3,North West,21.2,14.5
Cheshire East,114633.0,1043.0,321392.0,306379.0,256316.0,46.4,329.0,1.6,0.4,1.0,96.7,0.2,33.3,2.8,67.2,9.3,North West,21.2,14.5
Central Bedfordshire,87266.0,730.0,227079.0,216159.0,172432.0,41.1,403.0,2.5,1.4,1.9,93.8,0.3,33.4,2.3,72.9,8.7,East  ,23.0,12.2
Central Bedfordshire,87266.0,730.0,227079.0,216159.0,172432.0,41.1,403.0,2.5,1.4,1.9,93.8,0.3,33.4,2.3,72.9,8.7,East  ,23.0,12.2
Central Bedfordshire,87266.0,730.0,227079.0,216159.0,172432.0,41.1,403.0,2.5,1.4,1.9,93.8,0.3,33.4,2.3,72.9,8.7,East  ,23.0,12.2
Central Bedfordshire,87266.0,730.0,227079.0,216159.0,172432.0,41.1,403.0,2.5,1.4,1.9,93.8,0.3,33.4,2.3,72.9,8.7,East  ,23.0,12.2
Rotherham,85189.0,983.0,205469.0,194985.0,153738.0,41.9,926.0,4.1,0.8,1.0,93.6,0.5,33.9,5.1,62.4,10.1,Yorkshire and The Humber,22.9,29.6
Rotherham,85189.0,983.0,205469.0,194985.0,153738.0,41.9,926.0,4.1,0.8,1.0,93.6,0.5,33.9,5.1,62.4,10.1,Yorkshire and The Humber,22.9,29.6
Rotherham,85189.0,983.0,205469.0,194985.0,153738.0,41.9,926.0,4.1,0.8,1.0,93.6,0.5,33.9,5.1,62.4,10.1,Yorkshire and The Humber,22.9,29.6
Rotherham,85189.0,983.0,205469.0,194985.0,153738.0,41.9,926.0,4.1,0.8,1.0,93.6,0.5,33.9,5.1,62.4,10.1,Yorkshire and The Humber,22.9,29.6
Kirklees,127649.0,1081.0,323159.0,303665.0,224051.0,39.7,1076.0,16.0,1.9,2.3,79.1,0.6,29.2,4.1,63.1,9.8,Yorkshire and The Humber,25.0,25.2
Kirklees,127649.0,1081.0,323159.0,303665.0,224051.0,39.7,1076.0,16.0,1.9,2.3,79.1,0.6,29.2,4.1,63.1,9.8,Yorkshire and The Humber,25.0,25.2
Kirklees,127649.0,1081.0,323159.0,303665.0,224051.0,39.7,1076.0,16.0,1.9,2.3,79.1,0.6,29.2,4.1,63.1,9.8,Yorkshire and The Humber,25.0,25.2
Kirklees,127649.0,1081.0,323159.0,303665.0,224051.0,39.7,1076.0,16.0,1.9,2.3,79.1,0.6,29.2,4.1,63.1,9.8,Yorkshire and The Humber,25.0,25.2
Sutton,66440.0,522.0,155185.0,146036.0,111600.0,39.5,4706.0,11.6,4.8,3.8,78.6,1.3,29.0,4.1,61.8,15.6,London,31.3,14.0
Sutton,66440.0,522.0,155185.0,146036.0,111600.0,39.5,4706.0,11.6,4.8,3.8,78.6,1.3,29.0,4.1,61.8,15.6,London,31.3,14.0
Sutton,66440.0,522.0,155185.0,146036.0,111600.0,39.5,4706.0,11.6,4.8,3.8,78.6,1.3,29.0,4.1,61.8,15.6,London,31.3,14.0
Sutton,66440.0,522.0,155185.0,146036.0,111600.0,39.5,4706.0,11.6,4.8,3.8,78.6,1.3,29.0,4.1,61.8,15.6,London,31.3,14.0
Blackburn with Darwen,53304.0,528.0,109369.0,100370.0,63817.0,36.5,1092.0,28.1,0.6,1.2,69.2,0.8,35.5,4.8,59.7,8.2,North West,24.6,36.0
Blackburn with Darwen,53304.0,528.0,109369.0,100370.0,63817.0,36.5,1092.0,28.1,0.6,1.2,69.2,0.8,35.5,4.8,59.7,8.2,North West,24.6,36.0
Blackburn with Darwen,53304.0,528.0,109369.0,100370.0,63817.0,36.5,1092.0,28.1,0.6,1.2,69.2,0.8,35.5,4.8,59.7,8.2,North West,24.6,36.0
Blackburn with Darwen,53304.0,528.0,109369.0,100370.0,63817.0,36.5,1092.0,28.1,0.6,1.2,69.2,0.8,35.5,4.8,59.7,8.2,North West,24.6,36.0
Slough,48738.0,359.0,107415.0,98273.0,65044.0,35.0,4595.0,39.7,8.6,3.4,45.7,2.6,35.8,4.5,63.5,10.0,South East,36.0,23.0
Slough,48738.0,359.0,107415.0,98273.0,65044.0,35.0,4595.0,39.7,8.6,3.4,45.7,2.6,35.8,4.5,63.5,10.0,South East,36.0,23.0
Slough,48738.0,359.0,107415.0,98273.0,65044.0,35.0,4595.0,39.7,8.6,3.4,45.7,2.6,35.8,4.5,63.5,10.0,South East,36.0,23.0
Slough,48738.0,359.0,107415.0,98273.0,65044.0,35.0,4595.0,39.7,8.6,3.4,45.7,2.6,35.8,4.5,63.5,10.0,South East,36.0,23.0
Sefton,89410.0,989.0,213466.0,202062.0,160314.0,46.5,1765.0,1.0,0.3,1.0,97.4,0.3,34.7,3.0,66.9,8.8,North West,17.6,27.0
Sefton,89410.0,989.0,213466.0,202062.0,160314.0,46.5,1765.0,1.0,0.3,1.0,97.4,0.3,34.7,3.0,66.9,8.8,North West,17.6,27.0
Sefton,89410.0,989.0,213466.0,202062.0,160314.0,46.5,1765.0,1.0,0.3,1.0,97.4,0.3,34.7,3.0,66.9,8.8,North West,17.6,27.0
Sefton,89410.0,989.0,213466.0,202062.0,160314.0,46.5,1765.0,1.0,0.3,1.0,97.4,0.3,34.7,3.0,66.9,8.8,North West,17.6,27.0
Sunderland,90237.0,1012.0,218100.0,205653.0,160333.0,42.2,2021.0,2.7,0.5,0.6,95.9,0.3,33.6,7.0,64.2,7.6,North East,19.7,30.6
Sunderland,90237.0,1012.0,218100.0,205653.0,160333.0,42.2,2021.0,2.7,0.5,0.6,95.9,0.3,33.6,7.0,64.2,7.6,North East,19.7,30.6
Sunderland,90237.0,1012.0,218100.0,205653.0,160333.0,42.2,2021.0,2.7,0.5,0.6,95.9,0.3,33.6,7.0,64.2,7.6,North East,19.7,30.6
Sunderland,90237.0,1012.0,218100.0,205653.0,160333.0,42.2,2021.0,2.7,0.5,0.6,95.9,0.3,33.6,7.0,64.2,7.6,North East,19.7,30.6
Birmingham,323478.0,3385.0,749383.0,681657.0,448915.0,32.6,4264.0,26.6,9.0,4.4,57.9,2.0,36.0,7.8,56.7,9.3,West Midlands,26.8,38.1
Birmingham,323478.0,3385.0,749383.0,681657.0,448915.0,32.6,4264.0,26.6,9.0,4.4,57.9,2.0,36.0,7.8,56.7,9.3,West Midlands,26.8,38.1
Birmingham,323478.0,3385.0,749383.0,681657.0,448915.0,32.6,4264.0,26.6,9.0,4.4,57.9,2.0,36.0,7.8,56.7,9.3,West Midlands,26.8,38.1
Birmingham,323478.0,3385.0,749383.0,681657.0,448915.0,32.6,4264.0,26.6,9.0,4.4,57.9,2.0,36.0,7.8,56.7,9.3,West Midlands,26.8,38.1
Coventry,102861.0,751.0,256694.0,235516.0,171662.0,32.1,3766.0,16.3,5.6,2.6,73.8,1.7,29.7,4.3,63.7,7.7,West Midlands,23.3,25.6
Coventry,102861.0,751.0,256694.0,235516.0,171662.0,32.1,3766.0,16.3,5.6,2.6,73.8,1.7,29.7,4.3,63.7,7.7,West Midlands,23.3,25.6
Coventry,102861.0,751.0,256694.0,235516.0,171662.0,32.1,3766.0,16.3,5.6,2.6,73.8,1.7,29.7,4.3,63.7,7.7,West Midlands,23.3,25.6
Coventry,102861.0,751.0,256694.0,235516.0,171662.0,32.1,3766.0,16.3,5.6,2.6,73.8,1.7,29.7,4.3,63.7,7.7,West Midlands,23.3,25.6
Sandwell,103996.0,1229.0,232022.0,213793.0,145053.0,36.7,3839.0,19.2,6.0,3.3,69.9,1.6,31.0,5.3,64.1,6.1,West Midlands,24.1,34.9
Sandwell,103996.0,1229.0,232022.0,213793.0,145053.0,36.7,3839.0,19.2,6.0,3.3,69.9,1.6,31.0,5.3,64.1,6.1,West Midlands,24.1,34.9
Sandwell,103996.0,1229.0,232022.0,213793.0,145053.0,36.7,3839.0,19.2,6.0,3.3,69.9,1.6,31.0,5.3,64.1,6.1,West Midlands,24.1,34.9
Sandwell,103996.0,1229.0,232022.0,213793.0,145053.0,36.7,3839.0,19.2,6.0,3.3,69.9,1.6,31.0,5.3,64.1,6.1,West Midlands,24.1,34.9
Wakefield,107787.0,1004.0,270602.0,255332.0,199342.0,41.6,1029.0,2.6,0.8,0.9,95.4,0.3,33.2,4.4,67.2,7.7,Yorkshire and The Humber,22.2,27.3
Wakefield,107787.0,1004.0,270602.0,255332.0,199342.0,41.6,1029.0,2.6,0.8,0.9,95.4,0.3,33.2,4.4,67.2,7.7,Yorkshire and The Humber,22.2,27.3
Wakefield,107787.0,1004.0,270602.0,255332.0,199342.0,41.6,1029.0,2.6,0.8,0.9,95.4,0.3,33.2,4.4,67.2,7.7,Yorkshire and The Humber,22.2,27.3
Wakefield,107787.0,1004.0,270602.0,255332.0,199342.0,41.6,1029.0,2.6,0.8,0.9,95.4,0.3,33.2,4.4,67.2,7.7,Yorkshire and The Humber,22.2,27.3
Barking and Dagenham,65671.0,557.0,133560.0,120499.0,70208.0,32.5,5898.0,15.9,20.0,4.2,58.3,1.6,33.1,6.5,57.5,10.1,London,36.3,32.8
Barking and Dagenham,65671.0,557.0,133560.0,120499.0,70208.0,32.5,5898.0,15.9,20.0,4.2,58.3,1.6,33.1,6.5,57.5,10.1,London,36.3,32.8
Barking and Dagenham,65671.0,557.0,133560.0,120499.0,70208.0,32.5,5898.0,15.9,20.0,4.2,58.3,1.6,33.1,6.5,57.5,10.1,London,36.3,32.8
Barking and Dagenham,65671.0,557.0,133560.0,120499.0,70208.0,32.5,5898.0,15.9,20.0,4.2,58.3,1.6,33.1,6.5,57.5,10.1,London,36.3,32.8
Brent,95364.0,846.0,245706.0,224556.0,147887.0,35.7,7628.0,34.1,18.8,5.1,36.3,5.8,35.9,4.3,53.9,15.5,London,22.7,25.6
Brent,95364.0,846.0,245706.0,224556.0,147887.0,35.7,7628.0,34.1,18.8,5.1,36.3,5.8,35.9,4.3,53.9,15.5,London,22.7,25.6
Brent,95364.0,846.0,245706.0,224556.0,147887.0,35.7,7628.0,34.1,18.8,5.1,36.3,5.8,35.9,4.3,53.9,15.5,London,22.7,25.6
Brent,95364.0,846.0,245706.0,224556.0,147887.0,35.7,7628.0,34.1,18.8,5.1,36.3,5.8,35.9,4.3,53.9,15.5,London,22.7,25.6
Greenwich,82882.0,532.0,199008.0,183721.0,130372.0,35.0,6086.0,11.7,19.1,4.8,62.5,1.9,32.8,5.0,63.2,12.5,London,30.4,24.5
Greenwich,82882.0,532.0,199008.0,183721.0,130372.0,35.0,6086.0,11.7,19.1,4.8,62.5,1.9,32.8,5.0,63.2,12.5,London,30.4,24.5
Greenwich,82882.0,532.0,199008.0,183721.0,130372.0,35.0,6086.0,11.7,19.1,4.8,62.5,1.9,32.8,5.0,63.2,12.5,London,30.4,24.5
Greenwich,82882.0,532.0,199008.0,183721.0,130372.0,35.0,6086.0,11.7,19.1,4.8,62.5,1.9,32.8,5.0,63.2,12.5,London,30.4,24.5
Tower Hamlets,98604.0,476.0,236985.0,213579.0,136073.0,31.6,16427.0,41.1,7.3,4.1,45.2,2.3,27.5,5.4,60.5,9.9,London,23.5,27.9
Tower Hamlets,98604.0,476.0,236985.0,213579.0,136073.0,31.6,16427.0,41.1,7.3,4.1,45.2,2.3,27.5,5.4,60.5,9.9,London,23.5,27.9
Tower Hamlets,98604.0,476.0,236985.0,213579.0,136073.0,31.6,16427.0,41.1,7.3,4.1,45.2,2.3,27.5,5.4,60.5,9.9,London,23.5,27.9
Tower Hamlets,98604.0,476.0,236985.0,213579.0,136073.0,31.6,16427.0,41.1,7.3,4.1,45.2,2.3,27.5,5.4,60.5,9.9,London,23.5,27.9
"Kingston upon Hull, City of",82219.0,795.0,190723.0,176408.0,130917.0,35.8,3629.0,2.5,1.2,1.3,94.1,0.8,35.8,7.1,68.0,7.1,Yorkshire and The Humber,21.4,40.6
"Kingston upon Hull, City of",82219.0,795.0,190723.0,176408.0,130917.0,35.8,3629.0,2.5,1.2,1.3,94.1,0.8,35.8,7.1,68.0,7.1,Yorkshire and The Humber,21.4,40.6
"Kingston upon Hull, City of",82219.0,795.0,190723.0,176408.0,130917.0,35.8,3629.0,2.5,1.2,1.3,94.1,0.8,35.8,7.1,68.0,7.1,Yorkshire and The Humber,21.4,40.6
"Kingston upon Hull, City of",82219.0,795.0,190723.0,176408.0,130917.0,35.8,3629.0,2.5,1.2,1.3,94.1,0.8,35.8,7.1,68.0,7.1,Yorkshire and The Humber,21.4,40.6
Rutland,10365.0,81.0,34289.0,32587.0,26979.0,47.6,105.0,1.0,0.7,1.0,97.1,0.2,24.3,2.8,59.2,13.1,East Midlands,17.1,8.4
Rutland,10365.0,81.0,34289.0,32587.0,26979.0,47.6,105.0,1.0,0.7,1.0,97.1,0.2,24.3,2.8,59.2,13.1,East Midlands,17.1,8.4
Rutland,10365.0,81.0,34289.0,32587.0,26979.0,47.6,105.0,1.0,0.7,1.0,97.1,0.2,24.3,2.8,59.2,13.1,East Midlands,17.1,8.4
Rutland,10365.0,81.0,34289.0,32587.0,26979.0,47.6,105.0,1.0,0.7,1.0,97.1,0.2,24.3,2.8,59.2,13.1,East Midlands,17.1,8.4
Isle of Wight,34510.0,352.0,113415.0,108210.0,90377.0,50.6,373.0,1.1,0.2,1.2,97.3,0.1,35.5,4.0,61.3,11.8,South East,16.8,23.3
Isle of Wight,34510.0,352.0,113415.0,108210.0,90377.0,50.6,373.0,1.1,0.2,1.2,97.3,0.1,35.5,4.0,61.3,11.8,South East,16.8,23.3
Isle of Wight,34510.0,352.0,113415.0,108210.0,90377.0,50.6,373.0,1.1,0.2,1.2,97.3,0.1,35.5,4.0,61.3,11.8,South East,16.8,23.3
Isle of Wight,34510.0,352.0,113415.0,108210.0,90377.0,50.6,373.0,1.1,0.2,1.2,97.3,0.1,35.5,4.0,61.3,11.8,South East,16.8,23.3
Wigan,108083.0,1208.0,248961.0,234035.0,177488.0,42.1,1747.0,1.1,0.5,0.9,97.3,0.2,32.6,3.5,66.2,10.8,North West,22.8,25.7
Wigan,108083.0,1208.0,248961.0,234035.0,177488.0,42.1,1747.0,1.1,0.5,0.9,97.3,0.2,32.6,3.5,66.2,10.8,North West,22.8,25.7
Wigan,108083.0,1208.0,248961.0,234035.0,177488.0,42.1,1747.0,1.1,0.5,0.9,97.3,0.2,32.6,3.5,66.2,10.8,North West,22.8,25.7
Wigan,108083.0,1208.0,248961.0,234035.0,177488.0,42.1,1747.0,1.1,0.5,0.9,97.3,0.2,32.6,3.5,66.2,10.8,North West,22.8,25.7
Bromley,98686.0,725.0,249960.0,237694.0,191496.0,40.9,2214.0,5.2,6.0,3.5,84.3,0.9,33.8,3.3,65.3,11.6,London,28.2,14.2
Bromley,98686.0,725.0,249960.0,237694.0,191496.0,40.9,2214.0,5.2,6.0,3.5,84.3,0.9,33.8,3.3,65.3,11.6,London,28.2,14.2
Bromley,98686.0,725.0,249960.0,237694.0,191496.0,40.9,2214.0,5.2,6.0,3.5,84.3,0.9,33.8,3.3,65.3,11.6,London,28.2,14.2
Bromley,98686.0,725.0,249960.0,237694.0,191496.0,40.9,2214.0,5.2,6.0,3.5,84.3,0.9,33.8,3.3,65.3,11.6,London,28.2,14.2
Harrow,75015.0,610.0,190739.0,178346.0,133466.0,38.3,4977.0,42.6,8.2,4.0,42.2,2.9,31.4,4.4,57.0,12.8,London,29.6,15.0
Harrow,75015.0,610.0,190739.0,178346.0,133466.0,38.3,4977.0,42.6,8.2,4.0,42.2,2.9,31.4,4.4,57.0,12.8,London,29.6,15.0
Harrow,75015.0,610.0,190739.0,178346.0,133466.0,38.3,4977.0,42.6,8.2,4.0,42.2,2.9,31.4,4.4,57.0,12.8,London,29.6,15.0
Harrow,75015.0,610.0,190739.0,178346.0,133466.0,38.3,4977.0,42.6,8.2,4.0,42.2,2.9,31.4,4.4,57.0,12.8,London,29.6,15.0
Lewisham,87758.0,654.0,203811.0,188841.0,134751.0,35.2,8702.0,9.3,27.2,7.4,53.5,2.6,33.7,4.3,69.6,12.4,London,24.4,26.7
Lewisham,87758.0,654.0,203811.0,188841.0,134751.0,35.2,8702.0,9.3,27.2,7.4,53.5,2.6,33.7,4.3,69.6,12.4,London,24.4,26.7
Lewisham,87758.0,654.0,203811.0,188841.0,134751.0,35.2,8702.0,9.3,27.2,7.4,53.5,2.6,33.7,4.3,69.6,12.4,London,24.4,26.7
Lewisham,87758.0,654.0,203811.0,188841.0,134751.0,35.2,8702.0,9.3,27.2,7.4,53.5,2.6,33.7,4.3,69.6,12.4,London,24.4,26.7
Blackpool,44951.0,578.0,108114.0,100534.0,77500.0,43.4,3999.0,1.6,0.2,1.2,96.7,0.2,32.1,6.3,64.9,9.2,North West,21.7,45.0
Blackpool,44951.0,578.0,108114.0,100534.0,77500.0,43.4,3999.0,1.6,0.2,1.2,96.7,0.2,32.1,6.3,64.9,9.2,North West,21.7,45.0
Blackpool,44951.0,578.0,108114.0,100534.0,77500.0,43.4,3999.0,1.6,0.2,1.2,96.7,0.2,32.1,6.3,64.9,9.2,North West,21.7,45.0
Blackpool,44951.0,578.0,108114.0,100534.0,77500.0,43.4,3999.0,1.6,0.2,1.2,96.7,0.2,32.1,6.3,64.9,9.2,North West,21.7,45.0
Bath and North East Somerset,53103.0,291.0,154981.0,146820.0,121870.0,38.2,559.0,2.6,0.8,1.6,94.6,0.4,33.5,3.1,67.5,12.1,South West,20.8,11.7
Bath and North East Somerset,53103.0,291.0,154981.0,146820.0,121870.0,38.2,559.0,2.6,0.8,1.6,94.6,0.4,33.5,3.1,67.5,12.1,South West,20.8,11.7
Bath and North East Somerset,53103.0,291.0,154981.0,146820.0,121870.0,38.2,559.0,2.6,0.8,1.6,94.6,0.4,33.5,3.1,67.5,12.1,South West,20.8,11.7
