Local Authority,Cumulative Cases,Deaths (cum.),First dose (cum.),Second dose (cum.),Third dose (cum.),Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,% of key workers,Unemployed (%),Employees (%),Self-employed (%),Region name,"Households, 1+ child (%)",Deprivation Score
Barnsley,82327.0,1057.0,188260.0,178355.0,137023.0,42.4,750.0,0.7,0.5,0.7,97.9,0.2,35.0,4.1,63.6,7.5,Yorkshire and The Humber,22.2,29.9
Barnsley,82327.0,1057.0,188260.0,178355.0,137023.0,42.4,750.0,0.7,0.5,0.7,97.9,0.2,35.0,4.1,63.6,7.5,Yorkshire and The Humber,22.2,29.9
Barnsley,82327.0,1057.0,188260.0,178355.0,137023.0,42.4,750.0,0.7,0.5,0.7,97.9,0.2,35.0,4.1,63.6,7.5,Yorkshire and The Humber,22.2,29.9
Barnsley,82327.0,1057.0,188260.0,178355.0,137023.0,42.4,750.0,0.7,0.5,0.7,97.9,0.2,35.0,4.1,63.6,7.5,Yorkshire and The Humber,22.2,29.9
Wolverhampton,82398.0,897.0,185578.0,171543.0,120654.0,37.8,3793.0,18.0,6.9,5.1,68.0,1.9,36.5,6.5,64.6,7.5,West Midlands,21.8,32.1
Wolverhampton,82398.0,897.0,185578.0,171543.0,120654.0,37.8,3793.0,18.0,6.9,5.1,68.0,1.9,36.5,6.5,64.6,7.5,West Midlands,21.8,32.1
Wolverhampton,82398.0,897.0,185578.0,171543.0,120654.0,37.8,3793.0,18.0,6.9,5.1,68.0,1.9,36.5,6.5,64.6,7.5,West Midlands,21.8,32.1
Wolverhampton,82398.0,897.0,185578.0,171543.0,120654.0,37.8,3793.0,18.0,6.9,5.1,68.0,1.9,36.5,6.5,64.6,7.5,West Midlands,21.8,32.1
Bradford,161831.0,1444.0,375862.0,346102.0,235197.0,36.5,1473.0,26.8,1.8,2.5,67.4,1.5,30.6,6.1,57.5,9.5,Yorkshire and The Humber,28.7,34.7
Bradford,161831.0,1444.0,375862.0,346102.0,235197.0,36.5,1473.0,26.8,1.8,2.5,67.4,1.5,30.6,6.1,57.5,9.5,Yorkshire and The Humber,28.7,34.7
Bradford,161831.0,1444.0,375862.0,346102.0,235197.0,36.5,1473.0,26.8,1.8,2.5,67.4,1.5,30.6,6.1,57.5,9.5,Yorkshire and The Humber,28.7,34.7
Bradford,161831.0,1444.0,375862.0,346102.0,235197.0,36.5,1473.0,26.8,1.8,2.5,67.4,1.5,30.6,6.1,57.5,9.5,Yorkshire and The Humber,28.7,34.7
Hounslow,88220.0,663.0,214560.0,197924.0,135479.0,36.4,4851.0,34.4,6.6,4.1,51.4,3.6,28.0,5.1,62.7,11.8,London,27.0,21.5
Hounslow,88220.0,663.0,214560.0,197924.0,135479.0,36.4,4851.0,34.4,6.6,4.1,51.4,3.6,28.0,5.1,62.7,11.8,London,27.0,21.5
Hounslow,88220.0,663.0,214560.0,197924.0,135479.0,36.4,4851.0,34.4,6.6,4.1,51.4,3.6,28.0,5.1,62.7,11.8,London,27.0,21.5
Hounslow,88220.0,663.0,214560.0,197924.0,135479.0,36.4,4851.0,34.4,6.6,4.1,51.4,3.6,28.0,5.1,62.7,11.8,London,27.0,21.5
Wandsworth,106884.0,557.0,255149.0,240409.0,185149.0,34.0,9624.0,10.9,10.7,5.0,71.4,2.1,30.1,3.3,67.8,15.2,London,18.5,16.6
Wandsworth,106884.0,557.0,255149.0,240409.0,185149.0,34.0,9624.0,10.9,10.7,5.0,71.4,2.1,30.1,3.3,67.8,15.2,London,18.5,16.6
Wandsworth,106884.0,557.0,255149.0,240409.0,185149.0,34.0,9624.0,10.9,10.7,5.0,71.4,2.1,30.1,3.3,67.8,15.2,London,18.5,16.6
Wandsworth,106884.0,557.0,255149.0,240409.0,185149.0,34.0,9624.0,10.9,10.7,5.0,71.4,2.1,30.1,3.3,67.8,15.2,London,18.5,16.6
"Bristol, City of",150647.0,669.0,361071.0,337361.0,261397.0,32.4,4224.0,5.5,6.0,3.6,84.0,0.9,34.6,4.2,67.2,7.9,South West,21.8,26.4
"Bristol, City of",150647.0,669.0,361071.0,337361.0,261397.0,32.4,4224.0,5.5,6.0,3.6,84.0,0.9,34.6,4.2,67.2,7.9,South West,21.8,26.4
"Bristol, City of",150647.0,669.0,361071.0,337361.0,261397.0,32.4,4224.0,5.5,6.0,3.6,84.0,0.9,34.6,4.2,67.2,7.9,South West,21.8,26.4
"Bristol, City of",150647.0,669.0,361071.0,337361.0,261397.0,32.4,4224.0,5.5,6.0,3.6,84.0,0.9,34.6,4.2,67.2,7.9,South West,21.8,26.4
Stockport,94384.0,843.0,232050.0,220709.0,177542.0,42.4,2328.0,4.9,0.7,1.8,92.1,0.6,36.5,3.6,66.9,9.8,North West,21.8,20.8
Stockport,94384.0,843.0,232050.0,220709.0,177542.0,42.4,2328.0,4.9,0.7,1.8,92.1,0.6,36.5,3.6,66.9,9.8,North West,21.8,20.8
Stockport,94384.0,843.0,232050.0,220709.0,177542.0,42.4,2328.0,4.9,0.7,1.8,92.1,0.6,36.5,3.6,66.9,9.8,North West,21.8,20.8
Stockport,94384.0,843.0,232050.0,220709.0,177542.0,42.4,2328.0,4.9,0.7,1.8,92.1,0.6,36.5,3.6,66.9,9.8,North West,21.8,20.8
Trafford,77806.0,636.0,182318.0,172835.0,138125.0,40.7,2238.0,7.9,2.9,2.7,85.5,1.0,31.1,3.3,66.5,13.0,North West,26.0,16.1
Trafford,77806.0,636.0,182318.0,172835.0,138125.0,40.7,2238.0,7.9,2.9,2.7,85.5,1.0,31.1,3.3,66.5,13.0,North West,26.0,16.1
Trafford,77806.0,636.0,182318.0,172835.0,138125.0,40.7,2238.0,7.9,2.9,2.7,85.5,1.0,31.1,3.3,66.5,13.0,North West,26.0,16.1
Trafford,77806.0,636.0,182318.0,172835.0,138125.0,40.7,2238.0,7.9,2.9,2.7,85.5,1.0,31.1,3.3,66.5,13.0,North West,26.0,16.1
Barnet,115417.0,900.0,280616.0,262941.0,193352.0,37.4,4563.0,18.5,7.7,4.8,64.1,4.9,29.3,4.9,65.5,12.5,London,25.4,16.1
Barnet,115417.0,900.0,280616.0,262941.0,193352.0,37.4,4563.0,18.5,7.7,4.8,64.1,4.9,29.3,4.9,65.5,12.5,London,25.4,16.1
Barnet,115417.0,900.0,280616.0,262941.0,193352.0,37.4,4563.0,18.5,7.7,4.8,64.1,4.9,29.3,4.9,65.5,12.5,London,25.4,16.1
Barnet,115417.0,900.0,280616.0,262941.0,193352.0,37.4,4563.0,18.5,7.7,4.8,64.1,4.9,29.3,4.9,65.5,12.5,London,25.4,16.1
Merton,65896.0,476.0,160307.0,150103.0,111201.0,37.4,5490.0,18.1,10.4,4.7,64.9,1.9,28.2,4.2,66.9,13.0,London,26.2,14.6
Merton,65896.0,476.0,160307.0,150103.0,111201.0,37.4,5490.0,18.1,10.4,4.7,64.9,1.9,28.2,4.2,66.9,13.0,London,26.2,14.6
Merton,65896.0,476.0,160307.0,150103.0,111201.0,37.4,5490.0,18.1,10.4,4.7,64.9,1.9,28.2,4.2,66.9,13.0,London,26.2,14.6
Merton,65896.0,476.0,160307.0,150103.0,111201.0,37.4,5490.0,18.1,10.4,4.7,64.9,1.9,28.2,4.2,66.9,13.0,London,26.2,14.6
Derby,78256.0,802.0,190537.0,179123.0,133538.0,37.0,3297.0,12.5,2.9,2.9,80.3,1.3,32.3,4.8,68.5,7.4,East Midlands,22.9,26.3
Derby,78256.0,802.0,190537.0,179123.0,133538.0,37.0,3297.0,12.5,2.9,2.9,80.3,1.3,32.3,4.8,68.5,7.4,East Midlands,22.9,26.3
